Date,Product,Quantity,Price,Cost,Profit
7/12/2024,Mobile,1,18229,4491,13738
9/14/2024,Mobile,16,17393,6429,175424
5/13/2024,Mobile,18,26178,23393,50130
5/23/2024,Mouse,1,54411,42852,11559
6/28/2024,Laptop,8,37595,38908,-10504
7/23/2024,Smartwatch,19,47487,32504,284677
7/28/2024,Laptop,20,30374,18802,231440
8/4/2024,Printer,7,27578,32526,-34636
12/17/2024,Mobile,8,32138,23774,66912
12/5/2024,Mouse,3,30347,16016,42993
4/13/2024,Mouse,12,55952,43552,148800
1/17/2024,Camera,10,37252,25047,122050
12/21/2024,Tablet,17,32565,30043,42874
10/21/2024,Camera,3,45270,41984,9858
2/14/2024,Keyboard,5,20931,14496,32175
1/26/2024,Monitor,14,31793,27506,60018
2/28/2024,Headphones,17,4172,6486,-39338
10/1/2024,Smartwatch,7,26954,17074,69160
9/14/2024,Tablet,11,20413,17492,32131
2/12/2024,Tablet,13,44811,39010,75413
7/29/2024,Mobile,11,54227,41486,140151
6/14/2024,Tablet,18,18621,19802,-21258
5/4/2024,Smartwatch,1,682,1038,-356
8/31/2024,Laptop,16,46064,36154,158560
11/29/2024,Laptop,17,43727,36634,120581
12/14/2024,Keyboard,6,7912,10483,-15426
10/20/2024,Keyboard,19,42036,44148,-40128
7/29/2024,Headphones,16,11481,12003,-8352
3/15/2024,Printer,20,46183,38881,146040
5/10/2024,Monitor,10,12977,5694,72830
12/21/2024,Headphones,2,15976,10829,10294
3/30/2024,Camera,8,17335,16254,8648
12/19/2024,Mouse,10,25637,27424,-17870
9/5/2024,Laptop,9,20094,8870,101016
2/23/2024,Mouse,7,25180,14442,75166
11/2/2024,Keyboard,8,32224,32823,-4792
9/24/2024,Headphones,10,39422,29900,95220
10/24/2024,Mobile,19,23716,14886,167770
2/26/2024,Headphones,3,15740,20221,-13443
11/23/2024,Headphones,8,42662,43600,-7504
1/15/2024,Tablet,13,30398,28364,26442
8/8/2024,Printer,14,6779,3060,52066
10/30/2024,Headphones,20,36385,36513,-2560
9/3/2024,Laptop,19,51654,49527,40413
8/20/2024,Headphones,12,31355,32891,-18432
9/29/2024,Smartwatch,7,26891,24174,19019
9/24/2024,Keyboard,8,31479,35449,-31760
10/26/2024,Laptop,3,26638,24925,5139
4/10/2024,Monitor,14,50297,46730,49938
9/28/2024,Camera,20,29140,32155,-60300
7/13/2024,Laptop,12,46347,36985,112344
2/2/2024,Smartwatch,16,33056,24387,138704
5/30/2024,Laptop,6,25751,27375,-9744
9/23/2024,Printer,16,30308,33744,-54976
5/19/2024,Mobile,14,7564,1690,82236
9/26/2024,Tablet,2,36699,29507,14384
8/30/2024,Keyboard,3,51436,44286,21450
8/8/2024,Smartwatch,5,35320,25614,48530
3/27/2024,Printer,6,33654,23126,63168
4/10/2024,Mouse,11,28175,19055,100320
12/3/2024,Tablet,10,42280,37469,48110
1/12/2024,Printer,1,14223,9631,4592
10/26/2024,Laptop,6,57697,43700,83982
9/21/2024,Camera,4,59478,49210,41072
10/18/2024,Headphones,6,48722,47983,4434
9/26/2024,Camera,19,23678,28449,-90649
2/20/2024,Headphones,9,345,4519,-37566
8/3/2024,Tablet,6,59934,46595,80034
1/16/2024,Tablet,13,29492,32938,-44798
5/4/2024,Laptop,20,32941,24821,162400
3/7/2024,Printer,1,54351,42270,12081
5/11/2024,Laptop,12,33579,22479,133200
9/2/2024,Camera,15,46282,47306,-15360
4/29/2024,Smartwatch,15,51053,38948,181575
10/9/2024,Laptop,8,15049,10582,35736
4/8/2024,Printer,5,30682,28631,10255
10/29/2024,Tablet,20,41061,36494,91340
5/20/2024,Headphones,4,43512,40181,13324
8/19/2024,Monitor,2,30089,20592,18994
11/28/2024,Tablet,4,39269,25649,54480
9/2/2024,Tablet,12,18389,12379,72120
3/22/2024,Mouse,13,8699,13418,-61347
2/14/2024,Keyboard,3,43948,47056,-9324
6/14/2024,Mouse,8,14284,3348,87488
6/23/2024,Laptop,20,21728,23755,-40540
4/11/2024,Keyboard,10,46113,32842,132710
12/5/2024,Laptop,17,29183,32550,-57239
1/8/2024,Printer,4,33314,28613,18804
7/6/2024,Smartwatch,18,53559,44429,164340
4/29/2024,Mouse,18,45053,39552,99018
8/15/2024,Camera,15,16118,16898,-11700
9/1/2024,Headphones,13,26949,18959,103870
11/20/2024,Keyboard,9,58239,47363,97884
9/18/2024,Tablet,10,29349,18157,111920
6/28/2024,Keyboard,2,26489,30661,-8344
3/11/2024,Keyboard,17,37562,38434,-14824
9/18/2024,Tablet,15,24091,10540,203265
6/8/2024,Keyboard,14,16789,16446,4802
2/5/2024,Printer,16,41448,37353,65520
7/2/2024,Headphones,20,61964,46979,299700
9/24/2024,Mouse,13,30968,34615,-47411
8/14/2024,Laptop,3,25119,24972,441
3/14/2024,Keyboard,7,35870,40092,-29554
4/17/2024,Laptop,4,25736,13359,49508
11/30/2024,Printer,13,27948,32318,-56810
7/30/2024,Mouse,6,51413,45653,34560
4/20/2024,Printer,19,21712,23566,-35226
8/12/2024,Laptop,19,29526,16697,243751
5/22/2024,Monitor,12,54938,48115,81876
1/14/2024,Camera,19,23095,12038,210083
5/1/2024,Mouse,6,12139,14355,-13296
1/14/2024,Monitor,12,11328,11852,-6288
4/29/2024,Tablet,11,20639,11518,100331
12/17/2024,Camera,17,19272,7094,207026
9/24/2024,Printer,2,33425,36828,-6806
7/5/2024,Laptop,7,18837,13688,36043
10/11/2024,Camera,2,19397,15058,8678
5/1/2024,Monitor,5,25199,30186,-24935
3/14/2024,Keyboard,9,15077,19589,-40608
8/9/2024,Mouse,14,14503,8217,88004
3/28/2024,Headphones,8,49370,45684,29488
8/25/2024,Mobile,18,6148,10466,-77724
9/29/2024,Headphones,20,46905,33758,262940
11/19/2024,Printer,15,19652,19767,-1725
3/10/2024,Keyboard,19,39171,41553,-45258
9/1/2024,Tablet,13,52482,42553,129077
1/20/2024,Headphones,5,43042,43581,-2695
12/15/2024,Printer,1,18742,14032,4710
2/29/2024,Mouse,12,31220,36133,-58956
4/12/2024,Tablet,13,28248,30823,-33475
10/30/2024,Mobile,11,12412,12121,3201
1/1/2024,Headphones,12,13446,8867,54948
6/2/2024,Monitor,17,43380,47253,-65841
4/6/2024,Mouse,10,49665,46484,31810
4/9/2024,Keyboard,8,43649,31716,95464
4/26/2024,Tablet,6,58239,43785,86724
7/4/2024,Monitor,6,-353,3242,-21570
9/22/2024,Monitor,3,11025,14090,-9195
3/15/2024,Monitor,14,12964,14747,-24962
10/11/2024,Camera,12,21715,15883,69984
3/7/2024,Mobile,14,38084,33860,59136
12/27/2024,Smartwatch,15,19129,16507,39330
4/18/2024,Tablet,15,41223,41642,-6285
12/1/2024,Mobile,6,42237,42550,-1878
9/2/2024,Laptop,14,44892,31635,185598
10/14/2024,Smartwatch,2,46958,49012,-4108
1/13/2024,Mobile,16,43232,38259,79568
3/31/2024,Headphones,5,37602,33264,21690
5/19/2024,Smartwatch,4,39565,40148,-2332
2/13/2024,Monitor,15,48738,48532,3090
9/12/2024,Tablet,5,27606,21681,29625
8/28/2024,Keyboard,12,29363,21698,91980
1/22/2024,Keyboard,6,53803,49113,28140
4/23/2024,Mouse,3,44063,45300,-3711
8/29/2024,Mouse,20,48656,46327,46580
8/3/2024,Keyboard,3,41071,30050,33063
3/15/2024,Headphones,20,31369,24271,141960
3/14/2024,Mouse,10,24095,24144,-490
1/4/2024,Mouse,1,48980,39994,8986
5/16/2024,Monitor,15,13419,8834,68775
2/25/2024,Printer,4,62895,49523,53488
11/12/2024,Smartwatch,6,10329,1702,51762
7/23/2024,Monitor,17,19920,14555,91205
3/30/2024,Camera,11,18705,5370,146685
3/11/2024,Mobile,6,33418,28950,26808
1/19/2024,Mouse,20,15755,14344,28220
11/3/2024,Camera,3,31246,32980,-5202
1/6/2024,Smartwatch,8,25262,11060,113616
2/23/2024,Mobile,7,56904,44827,84539
4/18/2024,Keyboard,17,2490,1004,25262
11/21/2024,Headphones,15,17829,11740,91335
3/23/2024,Printer,2,34989,20703,28572
4/30/2024,Tablet,15,11450,8893,38355
5/13/2024,Tablet,13,14241,6508,100529
11/6/2024,Tablet,19,18261,3452,281371
11/15/2024,Mouse,11,36882,38753,-20581
4/25/2024,Headphones,11,51100,43776,80564
5/12/2024,Laptop,17,6395,5239,19652
12/15/2024,Laptop,7,1770,5768,-27986
5/6/2024,Monitor,12,29962,24063,70788
5/15/2024,Keyboard,5,33325,23236,50445
1/24/2024,Smartwatch,19,22252,19250,57038
7/29/2024,Headphones,1,16604,8832,7772
12/27/2024,Laptop,7,26018,25362,4592
12/21/2024,Laptop,14,49192,36674,175252
1/16/2024,Camera,15,8890,3131,86385
1/6/2024,Tablet,17,43603,43114,8313
10/23/2024,Tablet,2,20185,24797,-9224
3/7/2024,Keyboard,18,15654,19937,-77094
9/22/2024,Mouse,3,37526,38142,-1848
8/6/2024,Keyboard,14,14564,4707,137998
1/19/2024,Mobile,16,22801,8976,221200
2/19/2024,Headphones,14,21736,15138,92372
5/17/2024,Keyboard,2,8416,3977,8878
11/12/2024,Smartwatch,17,11330,7107,71791
3/19/2024,Printer,17,8581,12223,-61914
8/15/2024,Tablet,19,54480,46119,158859
8/22/2024,Printer,11,35563,35787,-2464
5/14/2024,Tablet,8,17592,15506,16688
5/6/2024,Monitor,11,5660,8560,-31900
3/4/2024,Laptop,15,40458,41965,-22605
1/26/2024,Monitor,6,32410,30889,9126
6/30/2024,Mouse,11,40828,41486,-7238
6/21/2024,Tablet,5,44185,43630,2775
5/7/2024,Headphones,17,20221,7523,215866
6/24/2024,Printer,10,52811,46457,63540
9/23/2024,Mobile,10,56205,49370,68350
1/25/2024,Tablet,17,30288,30239,833
10/11/2024,Monitor,19,38253,33444,91371
8/27/2024,Mobile,9,34380,36972,-23328
5/21/2024,Headphones,1,50389,46348,4041
4/30/2024,Headphones,16,56819,49577,115872
10/18/2024,Keyboard,6,40121,34650,32826
9/24/2024,Keyboard,18,-1876,2640,-81288
1/12/2024,Mobile,15,13947,7359,98820
1/19/2024,Printer,9,40023,36668,30195
1/20/2024,Mobile,3,49307,40728,25737
11/8/2024,Headphones,7,44073,46797,-19068
9/7/2024,Monitor,15,37100,27657,141645
8/5/2024,Printer,12,21532,16428,61248
5/2/2024,Camera,17,42930,43570,-10880
7/22/2024,Monitor,9,-2975,1095,-36630
7/6/2024,Smartwatch,5,46205,39211,34970
2/27/2024,Headphones,9,47686,37033,95877
5/26/2024,Printer,9,38627,26470,109413
3/31/2024,Printer,16,39706,42697,-47856
7/30/2024,Monitor,12,59917,46739,158136
5/28/2024,Laptop,8,22545,15459,56688
12/23/2024,Printer,2,33756,19548,28416
7/15/2024,Tablet,18,60808,47484,239832
5/27/2024,Mobile,12,35750,34729,12252
11/23/2024,Laptop,14,27175,17128,140658
1/21/2024,Camera,2,50840,47159,7362
12/18/2024,Camera,3,36898,27530,28104
8/19/2024,Mouse,2,42871,30136,25470
7/30/2024,Smartwatch,20,5673,3395,45560
10/5/2024,Camera,6,16156,16759,-3618
8/1/2024,Tablet,4,39990,39133,3428
7/26/2024,Printer,8,33258,30769,19912
10/21/2024,Camera,8,33419,22749,85360
6/16/2024,Laptop,2,25011,13746,22530
1/30/2024,Camera,16,24216,14267,159184
5/5/2024,Printer,12,53926,47610,75792
5/7/2024,Smartwatch,6,40167,40403,-1416
1/7/2024,Mobile,5,17790,10192,37990
11/30/2024,Mouse,8,38669,43542,-38984
10/22/2024,Mouse,9,42644,35658,62874
1/31/2024,Camera,17,39488,40800,-22304
7/26/2024,Smartwatch,5,28131,24822,16545
12/30/2024,Printer,18,41798,36963,87030
5/8/2024,Camera,17,37933,39790,-31569
12/5/2024,Mouse,15,18656,17887,11535
9/25/2024,Mobile,7,50849,49745,7728
11/25/2024,Smartwatch,9,17882,3113,132921
1/2/2024,Smartwatch,16,45815,49552,-59792
10/12/2024,Mobile,11,45470,30767,161733
5/15/2024,Monitor,10,42731,34633,80980
5/31/2024,Laptop,10,50296,43386,69100
6/7/2024,Camera,9,18681,8157,94716
2/10/2024,Mouse,20,21863,14521,146840
1/5/2024,Headphones,12,16698,12622,48912
11/30/2024,Laptop,13,51827,48475,43576
8/4/2024,Tablet,12,26270,14142,145536
7/3/2024,Mobile,11,42953,30145,140888
1/26/2024,Laptop,6,28523,24256,25602
4/3/2024,Laptop,15,7941,11631,-55350
9/30/2024,Mouse,15,12327,5657,100050
9/3/2024,Monitor,17,43236,42084,19584
9/24/2024,Keyboard,20,26046,22974,61440
5/16/2024,Camera,10,46737,33029,137080
2/23/2024,Tablet,5,19650,19468,910
12/6/2024,Headphones,2,33447,18663,29568
2/10/2024,Laptop,12,29927,27606,27852
8/5/2024,Camera,20,57730,48859,177420
11/5/2024,Keyboard,18,6865,11612,-85446
10/19/2024,Laptop,3,36631,40311,-11040
3/27/2024,Smartwatch,2,18405,15884,5042
12/5/2024,Keyboard,18,47377,33275,253836
6/5/2024,Tablet,4,19925,20233,-1232
7/5/2024,Smartwatch,15,26681,28149,-22020
7/20/2024,Mouse,11,4647,4159,5368
11/10/2024,Tablet,9,34110,28401,51381
9/11/2024,Keyboard,12,23733,14982,105012
11/8/2024,Headphones,3,45264,37619,22935
1/2/2024,Headphones,14,18577,16654,26922
5/27/2024,Keyboard,13,38827,29781,117598
10/29/2024,Monitor,13,35008,37169,-28093
3/26/2024,Smartwatch,7,43833,42159,11718
4/27/2024,Mobile,4,24715,15601,36456
11/9/2024,Mobile,18,34565,26945,137160
3/24/2024,Monitor,3,39613,29659,29862
9/14/2024,Printer,4,24017,17645,25488
2/18/2024,Headphones,10,19384,20311,-9270
1/11/2024,Mobile,5,44710,44170,2700
8/5/2024,Mobile,19,36702,41591,-92891
4/29/2024,Laptop,17,35792,32160,61744
4/28/2024,Tablet,3,12829,2685,30432
1/18/2024,Headphones,10,24297,29156,-48590
5/11/2024,Mouse,3,14960,12869,6273
3/8/2024,Laptop,5,37104,39122,-10090
4/7/2024,Camera,1,40344,33275,7069
3/2/2024,Mobile,18,7972,2303,102042
1/6/2024,Mouse,14,16558,7215,130802
6/20/2024,Printer,19,20219,24843,-87856
3/23/2024,Laptop,2,11751,12035,-568
7/3/2024,Mobile,7,27796,19967,54803
3/20/2024,Smartwatch,7,23392,17523,41083
11/21/2024,Laptop,14,34064,27797,87738
7/24/2024,Keyboard,8,37805,41674,-30952
4/1/2024,Mobile,1,44979,39739,5240
9/2/2024,Printer,19,42118,31393,203775
2/10/2024,Laptop,8,27858,14911,103576
2/19/2024,Printer,18,32693,25514,129222
6/28/2024,Headphones,13,10047,1745,107926
5/7/2024,Printer,3,35213,34278,2805
9/15/2024,Keyboard,3,7704,5257,7341
4/9/2024,Camera,19,5481,8835,-63726
7/31/2024,Keyboard,8,46984,41042,47536
6/26/2024,Laptop,11,50979,48036,32373
2/28/2024,Laptop,9,56531,42396,127215
8/23/2024,Laptop,19,10406,6168,80522
1/3/2024,Mouse,2,4300,9054,-9508
5/17/2024,Smartwatch,5,30819,31381,-2810
2/26/2024,Printer,4,41752,34210,30168
5/10/2024,Camera,16,21142,16260,78112
2/10/2024,Printer,9,27775,19355,75780
9/26/2024,Monitor,14,45124,42935,30646
6/3/2024,Printer,17,8742,1655,120479
4/5/2024,Printer,4,51833,49133,10800
8/10/2024,Headphones,5,56611,48418,40965
11/26/2024,Printer,9,8257,3028,47061
6/27/2024,Camera,15,13935,16730,-41925
7/24/2024,Keyboard,9,33323,36702,-30411
5/18/2024,Printer,6,3621,2049,9432
5/19/2024,Headphones,6,12723,1744,65874
10/27/2024,Headphones,4,32380,32558,-712
2/27/2024,Laptop,11,56699,47614,99935
6/1/2024,Headphones,16,27756,16394,181792
3/19/2024,Printer,13,11199,9899,16900
7/21/2024,Mobile,19,10546,8834,32528
12/28/2024,Keyboard,13,27172,25589,20579
8/21/2024,Headphones,7,11080,1633,66129
1/24/2024,Mouse,14,57429,49747,107548
1/8/2024,Laptop,5,34467,36976,-12545
3/7/2024,Smartwatch,13,34275,24819,122928
2/12/2024,Keyboard,14,31113,22229,124376
12/11/2024,Mouse,6,31974,21939,60210
1/10/2024,Laptop,4,54947,43459,45952
9/17/2024,Monitor,20,7333,1666,113340
10/19/2024,Camera,12,15680,4920,129120
4/14/2024,Keyboard,17,42077,41727,5950
6/15/2024,Camera,20,12075,1176,217980
9/26/2024,Laptop,1,54844,42587,12257
5/16/2024,Laptop,16,36949,40917,-63488
7/31/2024,Headphones,20,56246,44758,229760
6/22/2024,Keyboard,18,11583,10374,21762
3/18/2024,Laptop,18,41673,39225,44064
5/31/2024,Smartwatch,2,22872,25671,-5598
4/29/2024,Laptop,3,18896,19954,-3174
4/24/2024,Mouse,12,35666,23336,147960
12/21/2024,Keyboard,7,38052,38458,-2842
12/7/2024,Mobile,11,30288,22941,80817
12/13/2024,Tablet,14,46572,47137,-7910
12/13/2024,Laptop,7,47899,38285,67298
8/26/2024,Mobile,1,3563,4750,-1187
